20180220 150600;173.42;173.53;173.39;173.48;96000
20180220 150700;173.48;173.5;173.19;173.2;93100
20180220 150800;173.21;173.3;173.1;173.25;148800
20180220 150900;173.26;173.32;173.2;173.24;74300
20180220 151000;173.24;173.34;173.18;173.31;65400
20180220 151100;173.32;173.54;173.25;173.51;99600
20180220 151200;173.52;173.55;173.4;173.47;84100
20180220 151300;173.47;173.66;173.45;173.63;117500
20180220 151400;173.63;173.85;173.59;173.85;101100
20180220 151500;173.84;173.89;173.66;173.82;104200
20180220 151600;173.83;173.84;173.55;173.61;125600
20180220 151700;173.61;173.71;173.54;173.54;79900
20180220 151800;173.55;173.68;173.54;173.62;56000
20180220 151900;173.63;173.81;173.63;173.79;75800
20180220 152000;173.78;173.89;173.73;173.74;85100
20180220 152100;173.75;173.9;173.75;173.81;62800
20180220 152200;173.83;173.98;173.83;173.97;102300
20180220 152300;173.98;174;173.9;174;98100
20180220 152400;173.99;174;173.84;173.91;82100
20180220 152500;173.9;173.98;173.85;173.86;61700
20180220 152600;173.86;173.98;173.77;173.79;80200
20180220 152700;173.79;173.84;173.69;173.81;88000
20180220 152800;173.82;173.89;173.77;173.83;73100
20180220 152900;173.85;173.85;173.55;173.55;66600
20180220 153000;173.57;173.57;173.3;173.33;92300
20180220 153100;173.34;173.35;173.18;173.24;64800
20180220 153200;173.24;173.3;173.03;173.15;98800
20180220 153300;173.16;173.24;173.01;173.05;76100
20180220 153400;173.03;173.09;172.88;172.96;106700
20180220 153500;172.96;173.01;172.85;172.98;85600
20180220 153600;172.97;172.98;172.7;172.78;98400
20180220 153700;172.78;172.96;172.75;172.96;103700
20180220 153800;172.96;173.04;172.85;172.89;73900
20180220 153900;172.9;172.98;172.85;172.91;67100
20180220 154000;172.9;173.08;172.9;172.99;62500
20180220 154100;172.99;173.15;172.92;173.11;73600
20180220 154200;173.11;173.25;173.1;173.19;101700
20180220 154300;173.18;173.2;173.09;173.16;59000
20180220 154400;173.15;173.35;173.1;173.31;58600
20180220 154500;173.31;173.38;173.28;173.37;57800
20180220 154600;173.36;173.46;173.26;173.33;80400
20180220 154700;173.32;173.62;173.3;173.61;80100
20180220 154800;173.6;173.6;173.47;173.5;47000
20180220 154900;173.5;173.61;173.5;173.56;37700
20180220 155000;173.55;173.61;173.42;173.52;50700
20180220 155100;173.52;173.56;173.4;173.52;64100
20180220 155200;173.52;173.58;173.49;173.51;64100
20180220 155300;173.51;173.56;173.47;173.48;54600
20180220 155400;173.48;173.65;173.44;173.61;60900
20180220 155500;173.61;173.67;173.58;173.63;69700
20180220 155600;173.62;173.69;173.58;173.67;53000
20180220 155700;173.66;173.82;173.65;173.65;108000
20180220 155800;173.65;173.72;173.36;173.37;84600
20180220 155900;173.37;173.38;173.24;173.26;70800
20180220 160000;173.26;173.43;173.22;173.43;39800
20180220 160100;173.44;173.5;173.35;173.42;43100
20180220 160200;173.43;173.55;173.41;173.43;41600
20180220 160300;173.44;173.57;173.4;173.56;30000
20180220 160400;173.56;173.86;173.56;173.86;79500
20180220 160500;173.85;173.94;173.82;173.91;76900
20180220 160600;173.92;173.92;173.73;173.77;64900
20180220 160700;173.77;173.88;173.76;173.86;72700
20180220 160800;173.85;173.85;173.68;173.71;58600
20180220 160900;173.68;173.78;173.66;173.78;34500
20180220 161000;173.78;173.78;173.71;173.76;36000
20180220 161100;173.75;173.76;173.65;173.73;44300
20180220 161200;173.73;173.82;173.71;173.72;40900
20180220 161300;173.72;173.73;173.63;173.69;39900
20180220 161400;173.7;173.76;173.7;173.73;28700
20180220 161500;173.72;173.72;173.58;173.59;49900
20180220 161600;173.59;173.61;173.44;173.49;52700
20180220 161700;173.48;173.48;173.35;173.41;49200
20180220 161800;173.43;173.57;173.42;173.54;53300
20180220 161900;173.53;173.54;173.38;173.44;55300
20180220 162000;173.44;173.57;173.41;173.57;44000
20180220 162100;173.57;173.79;173.51;173.79;70300
20180220 162200;173.79;173.9;173.79;173.89;118600
20180220 162300;173.88;173.91;173.74;173.8;91500
20180220 162400;173.8;173.83;173.68;173.8;62700
20180220 162500;173.8;173.9;173.76;173.89;81500
20180220 162600;173.9;173.97;173.83;173.96;77400
20180220 162700;173.97;173.97;173.9;173.95;45600
